fid,CMUN,CDENTIDAD,CDNUCLEO,CDTNUCLEO,ETIQUETA,DESCR,BUSCA,POB,Poblacion_Total,avg_dis_B_d,avg_dis_B_t,avg_dis_B_total,avg_dis_H2_d,avg_dis_H2_t,avg_dis_H2_total,avg_dis_H3_d,avg_dis_H3_t,avg_dis_H3_total,avg_dis_J_d,avg_dis_J_t,avg_dis_J_total,avg_dis_M_d,avg_dis_M_t,avg_dis_M_total,avg_dis_d,avg_dis_t,avg_dis_total,avg_dur_B_d,avg_dur_B_t,avg_dur_B_total,avg_dur_H2_d,avg_dur_H2_t,avg_dur_H2_total,avg_dur_H3_d,avg_dur_H3_t,avg_dur_H3_total,avg_dur_J_d,avg_dur_J_t,avg_dur_J_total,avg_dur_M_d,avg_dur_M_t,avg_dur_M_total,avg_dur_d,avg_dur_t,avg_dur_total,dis_B_d_n,dis_B_d_p,dis_B_t_n,dis_B_t_p,dis_H21_d_n,dis_H21_d_p,dis_H21_t_n,dis_H21_t_p,dis_H22_d_n,dis_H22_d_p,dis_H22_t_n,dis_H22_t_p,dis_H23_d_n,dis_H23_d_p,dis_H23_t_n,dis_H23_t_p,dis_H24_d_n,dis_H24_d_p,dis_H24_t_n,dis_H24_t_p,dis_H31_d_n,dis_H31_d_p,dis_H31_t_n,dis_H31_t_p,dis_H32_d_n,dis_H32_d_p,dis_H32_t_n,dis_H32_t_p,dis_H33_d_n,dis_H33_d_p,dis_H33_t_n,dis_H33_t_p,dis_J_d_n,dis_J_d_p,dis_J_t_n,dis_J_t_p,dis_M_d_n,dis_M_d_p,dis_M_t_n,dis_M_t_p,dur_B_d_n,dur_B_d_p,dur_B_t_n,dur_B_t_p,dur_H21_d_n,dur_H21_d_p,dur_H21_t_n,dur_H21_t_p,dur_H22_d_n,dur_H22_d_p,dur_H22_t_n,dur_H22_t_p,dur_H23_d_n,dur_H23_d_p,dur_H23_t_n,dur_H23_t_p,dur_H24_d_n,dur_H24_d_p,dur_H24_t_n,dur_H24_t_p,dur_H31_d_n,dur_H31_d_p,dur_H31_t_n,dur_H31_t_p,dur_H32_d_n,dur_H32_d_p,dur_H32_t_n,dur_H32_t_p,dur_H33_d_n,dur_H33_d_p,dur_H33_t_n,dur_H33_t_p,dur_J_d_n,dur_J_d_p,dur_J_t_n,dur_J_t_p,dur_M_d_n,dur_M_d_p,dur_M_t_n,dur_M_t_p,w_avg_dis_B_d,w_avg_dis_B_t,w_avg_dis_B_total,w_avg_dis_H2_d,w_avg_dis_H2_t,w_avg_dis_H2_total,w_avg_dis_H3_d,w_avg_dis_H3_t,w_avg_dis_H3_total,w_avg_dis_J_d,w_avg_dis_J_t,w_avg_dis_J_total,w_avg_dis_M_d,w_avg_dis_M_t,w_avg_dis_M_total,w_avg_dis_d,w_avg_dis_t,w_avg_dis_total,w_avg_dur_B_d,w_avg_dur_B_t,w_avg_dur_B_total,w_avg_dur_H2_d,w_avg_dur_H2_t,w_avg_dur_H2_total,w_avg_dur_H3_d,w_avg_dur_H3_t,w_avg_dur_H3_total,w_avg_dur_J_d,w_avg_dur_J_t,w_avg_dur_J_total,w_avg_dur_M_d,w_avg_dur_M_t,w_avg_dur_M_total,w_avg_dur_d,w_avg_dur_t,w_avg_dur_total
415,"090","07","01","0900701","Berrocal- El Retamar, El",El Berrocal- El Retamar,El Berrocal- El Retamar Núcleo,737,"737",21806.25,25376.5,21806.25,10850,11860,10850,47685.1666666667,49698.3333333333,47685.1666666667,10848.5,13909,10848.5,10804,11814,10804,28194.8928571429,30293.5,28194.8928571429,2096.75,3055.5,2096.75,1724.5,2409.5,1724.5,3529.08333333333,4438.16666666667,3529.08333333333,2456.75,4335.5,2456.75,1695.5,2371.5,1695.5,2651.53571428571,3640.92857142857,2651.53571428571,18236,18236,25364,25389,9840,9840,11353,12367,,,,,,,,,,,,,47122,51738,47421,47390,47039,51655,47592,47561,38239,38239,65110,43116,7788,7788,15662,12156,9794,9794,11307,12321,1135,1141,2837,3274,1024,1055,2157,2662,,,,,,,,,,,,,2635,2858,3565,3342,2667,2868,3723,3500,2301,2391,6428,6071,575,581,4887,3784,1006,1033,2119,2624,16071206.25,18702480.5,16071206.25,7996450,8740820,7996450,35143967.8333333,36627671.6666667,35143967.8333333,7995344.5,10250933,7995344.5,7962548,8706918,7962548,20779636.0357143,22326309.5,20779636.0357143,1545304.75,2251903.5,1545304.75,1270956.5,1775801.5,1270956.5,2600934.41666667,3270928.83333333,2600934.41666667,1810624.75,3195263.5,1810624.75,1249583.5,1747795.5,1249583.5,1954181.82142857,2683364.35714286,1954181.82142857
416,"171","03","01","1710301",Encinar del Alberche,Encinar del Alberche,Encinar del Alberche Núcleo,1151,"1151",35021,34850,35021,53432,54187.25,53432,,,,17391.5,17265,17391.5,34482,33757,34482,42946.0714285714,43231.5714285714,42946.0714285714,2929.25,3688,2929.25,4089.6875,5219.875,4089.6875,,,,1407.25,1791,1407.25,2786.5,3368.5,2786.5,3354.53571428571,4246.71428571429,3354.53571428571,35192,35192,34978,34722,47555,47555,48624,48624,53532,53532,56285,56285,50984,50984,52925,52925,58636,58636,58915,58915,,,,,,,,,,,,,17518,17518,17265,17265,35207,35207,33757,33757,2216,2125,3457,3919,2816,2757,4181,4425,3041,3028,5803,5744,2884,2849,4786,5037,3173,3128,5766,6017,,,,,,,,,,,,,1016,1031,1791,1791,2246,2163,3273,3464,40309171,40112350,40309171,61500232,62369524.75,61500232,,,,20017616.5,19872015,20017616.5,39688782,38854307,39688782,49430928.2142857,49759538.7142857,49430928.2142857,3371566.75,4244888,3371566.75,4707230.3125,6008076.125,4707230.3125,,,,1619744.75,2061441,1619744.75,3207261.5,3877143.5,3207261.5,3861070.60714286,4887968.14285714,3861070.60714286
417,"134","01","01","1340101",Ciudalcampo,Ciudalcampo,Ciudalcampo Núcleo,2660,"2660",16431.5,15851,16431.5,11111,11016,11111,24636.875,22839.25,24636.875,37733.25,41980.5,37733.25,15690.25,14768.5,15690.25,21706.625,21549.0833333333,21706.625,2512.25,3808,2512.25,1728.75,2598,1728.75,2638.875,3700.25,2638.875,3849.75,6005,3849.75,2276.25,3387.5,2276.25,2607.45833333333,3866.5,2607.45833333333,17012,17012,15851,15851,11206,11206,11016,11016,,,,,,,,,,,,,27599,27599,22065,21649,25270,25270,24030,23613,,,,,33486,33486,43755,40206,16612,16612,14982,14555,1129,1304,3868,3748,835,884,2658,2538,,,,,,,,,,,,,1354,1613,3645,2865,1499,1844,4516,3775,,,,,1579,1810,6635,5375,1071,1259,3403,3372,43707790,42163660,43707790,29555260,29302560,29555260,65534087.5,60752405,65534087.5,100370445,111668130,100370445,41736065,39284210,41736065,57739622.5,57320561.6666667,57739622.5,6682585,10129280,6682585,4598475,6910680,4598475,7019407.5,9842665,7019407.5,10240335,15973300,10240335,6054825,9010750,6054825,6935839.16666667,10284890,6935839.16666667
418,"149","03","01","1490301",Vaciasilos,Vaciasilos,Vaciasilos Núcleo,40,"40",19253.5,25975,19253.5,18822,19720,18822,,,,10149.25,10030.5,10149.25,6975.5,7036,6975.5,14804.45,16496.3,14804.45,2961.75,5134.5,2961.75,1941.625,2857.5,1941.625,,,,1092,1591.5,1092,961.25,1382.5,961.25,1779.65,2764.7,1779.65,12532,12532,27422,24528,19238,19238,21594,20707,16610,16610,18733,17846,,,,,,,,,,,,,,,,,,,,,10268,10268,10496,9565,6915,6915,7036,7036,783,795,5448,4821,1011,1181,3497,3039,888,1023,2662,2232,,,,,,,,,,,,,,,,,,,,,548,637,1701,1482,524,556,1191,1574,770140,1039000,770140,752880,788800,752880,,,,405970,401220,405970,279020,281440,279020,592178,659852,592178,118470,205380,118470,77665,114300,77665,,,,43680,63660,43680,38450,55300,38450,71186,110588,71186
419,"160","15","01","1601501",Montemorillo,Montemorillo,Montemorillo Núcleo,73,"73",11982.25,13614.5,11982.25,31195,31755,31195,44105.3333333333,47976.3333333333,44105.3333333333,7403.75,8485.5,7403.75,12107,15061,12107,27857.7142857143,30406.4285714286,27857.7142857143,2043,3208.5,2043,4249,6379,4249,4742.41666666667,7100.83333333333,4742.41666666667,1507.5,2529.5,1507.5,1874.5,2807,1874.5,3414.46428571429,5175.21428571429,3414.46428571429,10350,10350,13473,13756,30635,30635,31428,32082,,,,,,,,,,,,,45951,45951,50489,50772,45868,45868,50646,50929,28884,28884,41901,43121,6322,6322,8344,8627,9153,9153,15061,15061,889,866,2614,3803,2134,2104,6662,6096,,,,,,,,,,,,,2409,3073,6938,7000,2419,3061,7093,7155,1623,1719,7371,7048,485,486,2094,2965,974,910,2807,2807,874704.25,993858.5,874704.25,2277235,2318115,2277235,3219689.33333333,3502272.33333333,3219689.33333333,540473.75,619441.5,540473.75,883811,1099453,883811,2033613.14285714,2219669.28571429,2033613.14285714,149139,234220.5,149139,310177,465667,310177,346196.416666667,518360.833333333,346196.416666667,110047.5,184653.5,110047.5,136838.5,204911,136838.5,249255.892857143,377790.642857143,249255.892857143
420,"068","06","01","0680601",Alderete,Alderete,Alderete Núcleo,30,"30",11515.75,13183.5,11515.75,13453.5,17235,13453.5,43673.8333333333,46483.3333333333,43673.8333333333,10620.5,13439,10620.5,13408,17189,13408,25717.0357142857,28642.3571428571,25717.0357142857,2178.25,3669,2178.25,2716.75,4437,2716.75,3872.08333333333,5654.5,3872.08333333333,2312.25,3861.5,2312.25,2690,4399,2690,3073.35714285714,4761.42857142857,3073.35714285714,9848,9848,13999,12368,9672,9672,17477,16993,,,,,,,,,,,,,43853,43853,47928,47928,43770,43770,48085,48085,34970,34970,43437,43437,7802,7802,14345,12533,9627,9627,17431,16947,689,686,3699,3639,1003,990,4751,4123,,,,,,,,,,,,,2017,2487,5164,4902,2058,2470,5319,5057,1682,1824,7010,6475,774,752,4014,3709,992,970,4713,4085,345472.5,395505,345472.5,403605,517050,403605,1310215,1394500,1310215,318615,403170,318615,402240,515670,402240,771511.071428571,859270.714285714,771511.071428571,65347.5,110070,65347.5,81502.5,133110,81502.5,116162.5,169635,116162.5,69367.5,115845,69367.5,80700,131970,80700,92200.7142857143,142842.857142857,92200.7142857143
421,"068","07","01","0680701",Canto de la Pata,Canto de la Pata,Canto de la Pata Núcleo,11,"11",15077,13969,15077,15532.25,18642.5,15532.25,49876.9166666667,52551.5,49876.9166666667,22085.5,34631,22085.5,15486.25,18596.5,15486.25,31115.9642857143,34784.7857142857,31115.9642857143,1461.75,1852.5,1461.75,2066.75,3022,2066.75,3595.83333333333,4743.5,3595.83333333333,2810.75,4836.5,2810.75,2040.5,2984,2040.5,2738.17857142857,3846.5,2738.17857142857,16185,16185,13969,13969,12422,12422,23473,13812,,,,,,,,,,,,,50191,50191,49091,49323,50108,50108,49262,49494,41308,41308,73305,44834,9540,9540,34631,34631,12376,12376,23427,13766,1057,1085,1814,1891,1101,1122,3810,2234,,,,,,,,,,,,,2402,2810,4018,3701,2450,2799,4176,3859,2059,2169,6764,5943,788,782,4995,4678,1086,1108,3772,2196,165847,153659,165847,170854.75,205067.5,170854.75,548646.083333333,578066.5,548646.083333333,242940.5,380941,242940.5,170348.75,204561.5,170348.75,342275.607142857,382632.642857143,342275.607142857,16079.25,20377.5,16079.25,22734.25,33242,22734.25,39554.1666666667,52178.5,39554.1666666667,30918.25,53201.5,30918.25,22445.5,32824,22445.5,30119.9642857143,42311.5,30119.9642857143
422,"149","01","01","1490101",Torrejón de la Calzada,Torrejón de la Calzada,Torrejón de la Calzada Núcleo,10248,"10248",17236,20622,17236,17242.5,18136.5,17242.5,,,,8569.5,8447,8569.5,5419,5497,5419,13141.9,14167.8,13141.9,2674.75,4257.5,2674.75,1817.25,2564.5,1817.25,,,,990.5,1347,990.5,800.5,1046.5,800.5,1620.05,2356,1620.05,13850,13850,20622,20622,17663,17663,20055,19079,15034,15034,17194,16218,,,,,,,,,,,,,,,,,,,,,8692,8692,8957,7937,5341,5341,5497,5497,1081,1103,4461,4054,1086,1210,3199,2751,947,1037,2364,1944,,,,,,,,,,,,,,,,,,,,,610,658,1403,1291,552,557,893,1200,176634528,211334256,176634528,176701140,185862852,176701140,,,,87820236,86564856,87820236,55533912,56333256,55533912,134678191.2,145191614.4,134678191.2,27410838,43630860,27410838,18623178,26280996,18623178,,,,10150644,13804056,10150644,8203524,10724532,8203524,16602272.4,24144288,16602272.4
423,"903","01","02","9030102",Soto de Viñuelas,Soto de Viñuelas,Soto de Viñuelas Núcleo,2473,"2473",13949.5,13980,13949.5,28000,31134,28000,19043.75,20344.5,19043.75,4050.75,4170.5,4050.75,16971.5,18842,16971.5,16843.2083333333,18135.9166666667,16843.2083333333,2008.25,2884,2008.25,2658.75,3875,2658.75,1725.625,2247.75,1725.625,1101.25,1719,1101.25,2036.5,2858.5,2036.5,1876,2638.66666666667,1876,13919,13919,13946,14014,24866,24866,38984,23284,,,,,,,,,,,,,18002,18002,20922,20922,17484,17484,19767,19767,,,,,3931,3931,4152,4189,15101,15101,18509,19175,1143,1122,2965,2803,1379,1506,4001,3749,,,,,,,,,,,,,1053,1167,1923,2560,1312,1282,1956,2552,,,,,483,484,1900,1538,1190,1239,3103,2614,34497113.5,34572540,34497113.5,69244000,76994382,69244000,47095193.75,50311948.5,47095193.75,10017504.75,10313646.5,10017504.75,41970519.5,46596266,41970519.5,41653254.2083333,44850121.9166667,41653254.2083333,4966402.25,7132132,4966402.25,6575088.75,9582875,6575088.75,4267470.625,5558685.75,4267470.625,2723391.25,4251087,2723391.25,5036264.5,7069070.5,5036264.5,4639348,6525422.66666667,4639348
424,"903","01","03","9030103",Tres Cantos,Tres Cantos,Tres Cantos Núcleo,50282,"50282",11243.5,11385,11243.5,22613.5,19986,22613.5,17522,16926,17522,1598.5,1896,1598.5,9681,9793,9681,13363.4166666667,12818.6666666667,13363.4166666667,1650,2496,1650,2528.75,3692,2528.75,1685.75,2246.5,1685.75,620.75,995,620.75,1363,2138,1363,1589,2302.33333333333,1589,11102,11102,11385,11385,25241,25241,20052,19920,,,,,,,,,,,,,18377,18377,17494,17494,17859,17859,16358,16358,,,,,1301,1301,1896,1896,9569,9569,9793,9793,816,792,2496,2496,1297,1434,4069,3315,,,,,,,,,,,,,954,1106,2232,2232,1219,1221,2261,2261,,,,,249,244,995,995,599,577,2138,2138,565345667,572460570,565345667,1137052007,1004936052,1137052007,881041204,851073132,881041204,80375777,95334672,80375777,486780042,492411626,486780042,671939316.833333,644548197.333333,671939316.833333,82965300,125503872,82965300,127150607.5,185641144,127150607.5,84762881.5,112958513,84762881.5,31212551.5,50030590,31212551.5,68534366,107502916,68534366,79898098,115765924.666667,79898098
425,"160","09","01","1600901","Pizarrera, La",La Pizarrera,La Pizarrera Núcleo,229,"229",14758.5,16863,14758.5,59175.5,85411,59175.5,42933.8333333333,43329,42933.8333333333,10164.5,11703,10164.5,14938.5,18420,14938.5,32548.3571428571,37483.4285714286,32548.3571428571,2550.25,4058,2550.25,6010.75,9718,6010.75,4704.66666666667,6861.66666666667,4704.66666666667,2078.5,3500,2078.5,2657.75,4213,2657.75,3915.89285714286,6010.57142857143,3915.89285714286,12654,12654,16863,16863,32940,32940,85411,85411,,,,,,,,,,,,,48255,48255,45862,45862,48172,48172,46033,46033,31189,31189,38092,38092,8626,8626,11703,11703,11457,11457,18420,18420,1054,1031,4058,4058,2316,2291,9718,9718,,,,,,,,,,,,,2589,3233,6713,6713,2609,3204,6871,6871,1778,1873,7001,7001,654,660,3500,3500,1141,1064,4213,4213,3379696.5,3861627,3379696.5,13551189.5,19559119,13551189.5,9831847.83333333,9922341,9831847.83333333,2327670.5,2679987,2327670.5,3420916.5,4218180,3420916.5,7453573.78571429,8583705.14285714,7453573.78571429,584007.25,929282,584007.25,1376461.75,2225422,1376461.75,1077368.66666667,1571321.66666667,1077368.66666667,475976.5,801500,475976.5,608624.75,964777,608624.75,896739.464285714,1376420.85714286,896739.464285714
426,"010","01","01","0100101",Alpedrete,Alpedrete,Alpedrete Núcleo,11950,"11950",6137.5,6805,6137.5,5197,6864,5197,39138.1666666667,40378.6666666667,39138.1666666667,5920.25,7758.5,5920.25,5151,6818,5151,19974.3214285714,21340.2142857143,19974.3214285714,1028.5,1398.5,1028.5,1076.5,1675.5,1076.5,3119.58333333333,4117.16666666667,3119.58333333333,1241.75,1994.5,1241.75,1049,1637.5,1049,1964.92857142857,2722.5,1964.92857142857,5587,5353,6805,6805,3530,3530,4399,9329,,,,,,,,,,,,,40886,40886,41928,41890,40803,40803,42099,42061,32004,32004,37667,36627,4082,4082,8546,6971,3484,3484,4353,9283,653,664,1399,1398,480,475,1176,2175,,,,,,,,,,,,,2051,2538,3553,3552,2082,2504,3711,3710,1699,1858,5085,5092,469,509,2501,1488,466,455,1138,2137,73343125,81319750,73343125,62104150,82024800,62104150,467701091.666667,482525066.666667,467701091.666667,70746987.5,92714075,70746987.5,61554450,81475100,61554450,238693141.071429,255015560.714286,238693141.071429,12290575,16712075,12290575,12864175,20022225,12864175,37279020.8333333,49200141.6666667,37279020.8333333,14838912.5,23834275,14838912.5,12535550,19568125,12535550,23480896.4285714,32533875,23480896.4285714
427,"035","01","01","0350101",Carabaña,Carabaña,Carabaña Núcleo,2300,"2300",24465.5,23903,24465.5,50880.75,52916.5,50880.75,53323.5,53442,53323.5,30610.5,29521,30610.5,25000,24239,25000,36856.05,36804.3,36856.05,2682,3947,2682,4932.25,7341,4932.25,4885.75,7263,4885.75,3063.5,4603.5,3063.5,2704.5,3813,2704.5,3653.6,5393.5,3653.6,25028,25028,23903,23903,48845,48845,56436,49397,,,,,,,,,,,,,53205,53205,54458,52426,,,,,,,,,31700,31700,29229,29813,25761,25761,24239,24239,1434,1400,3947,3947,2512,2535,7090,7592,,,,,,,,,,,,,2459,2558,7005,7521,,,,,,,,,1524,1523,4246,4961,1613,1579,3813,3813,56270650,54976900,56270650,117025725,121707950,117025725,122644050,122916600,122644050,70404150,67898300,70404150,57500000,55749700,57500000,84768915,84649890,84768915,6168600,9078100,6168600,11344175,16884300,11344175,11237225,16704900,11237225,7046050,10588050,7046050,6220350,8769900,6220350,8403280,12405050,8403280
428,"084","05","01","0840501","Raya de Velilla, La",La Raya de Velilla,La Raya de Velilla Núcleo,88,"88",13447.75,12294.5,13447.75,21787,23963,21787,22828.5,28122,22828.5,15670,19199,15670,22438.5,34576,22438.5,19234.35,23630.9,19234.35,1655,2214,1655,2665.5,4045.5,2665.5,2806,4581.5,2806,2440,3861,2440,2738.25,4500,2738.25,2460.95,3840.4,2460.95,14601,14601,10636,13953,19611,19611,23963,23963,,,,,,,,,,,,,17535,17535,28122,28122,,,,,,,,,12141,12141,17015,21383,10301,10301,34576,34576,1060,1132,2231,2197,1271,1300,4170,3921,,,,,,,,,,,,,957,1104,4423,4740,,,,,,,,,924,1114,3771,3951,942,1011,4560,4440,1183402,1081916,1183402,1917256,2108744,1917256,2008908,2474736,2008908,1378960,1689512,1378960,1974588,3042688,1974588,1692622.8,2079519.2,1692622.8,145640,194832,145640,234564,356004,234564,246928,403172,246928,214720,339768,214720,240966,396000,240966,216563.6,337955.2,216563.6
429,"006","01","01","0060101",Alcobendas,Alcobendas,Alcobendas Núcleo,121330,"121330",4112,4691,4112,7001,7233,7001,11278.875,11212.25,11278.875,2978,2635,2978,3156.25,3363.5,3156.25,6634.16666666667,6724.5,6634.16666666667,953.25,1435,953.25,1049.75,1576,1049.75,1508.5,2153,1508.5,781.5,1253,781.5,743.5,1117.5,743.5,1090.83333333333,1614.58333333333,1090.83333333333,3533,3533,4691,4691,6769,6769,7233,7233,,,,,,,,,,,,,12510,12510,8180,11112,10181,10181,13269,12288,,,,,3321,3321,2502,2768,2949,2949,3148,3579,464,479,1435,1435,499,548,1621,1531,,,,,,,,,,,,,723,848,1548,1843,855,1030,2464,2757,,,,,301,319,1317,1189,355,384,1307,928,498908960,569159030,498908960,849431330,877579890,849431330,1368465903.75,1360382292.5,1368465903.75,361320740,319704550,361320740,382947812.5,408093455,382947812.5,804923441.666667,815883585,804923441.666667,115657822.5,174108550,115657822.5,127366167.5,191216080,127366167.5,183026305,261223490,183026305,94819395,152026490,94819395,90208855,135586275,90208855,132350808.333333,195897395.833333,132350808.333333
430,"174","01","01","1740101",Villamanta,Villamanta,Villamanta Núcleo,2593,"2593",11016,10643,11016,29209.6875,29731.875,29209.6875,,,,7983,8169,7983,10512,9620,10512,20907.1071428571,21051.3571428571,20907.1071428571,1346.75,1904,1346.75,2388.125,3189.75,2388.125,,,,724.5,935.5,724.5,1160,1498,1160,1826.25,2442.35714285714,1826.25,11389,11389,10841,10445,23752,23752,24487,24487,29729,29729,31259,30171,27181,27181,28788,29107,34088,34088,34778,34778,,,,,,,,,,,,,7797,7797,8169,8169,11404,11404,9620,9620,797,782,1666,2142,1418,1450,2396,2443,1680,1695,3224,3547,1499,1511,3001,2955,1723,1716,3981,3971,,,,,,,,,,,,,508,519,818,1053,825,819,1488,1508,28564488,27597299,28564488,75740719.6875,77094751.875,75740719.6875,,,,20699919,21182217,20699919,27257616,24944660,27257616,54212128.8214286,54586169.0714286,54212128.8214286,3492122.75,4937072,3492122.75,6192408.125,8271021.75,6192408.125,,,,1878628.5,2425751.5,1878628.5,3007880,3884314,3007880,4735466.25,6333032.07142857,4735466.25
431,"174","02","01","1740201",Jirfa,Jirfa,Jirfa Núcleo,37,"37",9908.5,9486,9908.5,28071.0625,28512.875,28071.0625,,,,9562.75,10283.5,9562.75,9305.5,8265,9305.5,20151.5714285714,20298,20151.5714285714,1238.5,1793.5,1238.5,2127,2787.75,2127,,,,973.75,1376.5,973.75,976,1235.5,976,1670.89285714286,2222.35714285714,1670.89285714286,10331,10331,9486,9486,22694,22694,23132,23132,28670,28670,29904,29904,26123,26123,27433,27752,33030,33030,33423,33423,,,,,,,,,,,,,8842,8842,10284,10283,10346,10346,8265,8265,686,681,1455,2132,1302,1346,2185,1923,1542,1558,3013,2773,1372,1396,2790,2420,1602,1612,3770,3428,,,,,,,,,,,,,568,574,1232,1521,715,718,1277,1194,366614.5,350982,366614.5,1038629.3125,1054976.375,1038629.3125,,,,353821.75,380489.5,353821.75,344303.5,305805,344303.5,745608.142857143,751026,745608.142857143,45824.5,66359.5,45824.5,78699,103146.75,78699,,,,36028.75,50930.5,36028.75,36112,45713.5,36112,61823.0357142857,82227.2142857143,61823.0357142857
432,"021","01","01","0210101","Berrueco, El",El Berrueco,El Berrueco Núcleo,662,"662",9820.5,8008,9820.5,45684,45515,45684,59314,57547.5,59314,8182.5,8078,8182.5,54510.5,62867,54510.5,39470.9166666667,39927.1666666667,39470.9166666667,1648.75,2384,1648.75,3478.5,4893.5,3478.5,4526.75,6329.5,4526.75,865,1132,865,4283.75,6336,4283.75,3221.58333333333,4567.41666666667,3221.58333333333,11633,11633,8008,8008,45853,45853,46288,44742,,,,,,,,,,,,,62245,62245,57338,55792,59916,59916,59303,57757,,,,,8287,8287,8078,8078,46154,46154,48182,77552,919,908,2384,2384,2029,2098,3969,5818,,,,,,,,,,,,,2512,2776,4836,6985,2684,2924,5585,7912,,,,,622,574,1132,1132,2226,2237,5443,7229,6501171,5301296,6501171,30242808,30130930,30242808,39265868,38096445,39265868,5416815,5347636,5416815,36085951,41617954,36085951,26129746.8333333,26431784.3333333,26129746.8333333,1091472.5,1578208,1091472.5,2302767,3239497,2302767,2996708.5,4190129,2996708.5,572630,749384,572630,2835842.5,4194432,2835842.5,2132688.16666667,3023629.83333333,2132688.16666667
433,"902","02","01","9020201",Serrada de la Fuente,Serrada de la Fuente,Serrada de la Fuente Núcleo,79,"79",82622,104218,82622,76268,88693,76268,77161.25,75252,77161.25,19084.5,22276,19084.5,83386,102628,83386,69280.5,78053.1666666667,69280.5,6281.5,9237,6281.5,5628.75,8160,5628.75,5167.125,6545,5167.125,2200.5,3151,2200.5,6141.75,8991,6141.75,5097.79166666667,7104.83333333333,5097.79166666667,61026,61026,104218,104218,63843,63843,88693,88693,,,,,,,,,,,,,80235,80235,74270,74270,77906,77906,76234,76234,,,,,15893,15893,22276,22276,64144,64144,102628,102628,3362,3290,9237,9237,3098,3097,8160,8160,,,,,,,,,,,,,3641,3793,6210,6210,3774,3949,6880,6880,,,,,1244,1256,3151,3151,3314,3271,8991,8991,6527138,8233222,6527138,6025172,7006747,6025172,6095738.75,5944908,6095738.75,1507675.5,1759804,1507675.5,6587494,8107612,6587494,5473159.5,6166200.16666667,5473159.5,496238.5,729723,496238.5,444671.25,644640,444671.25,408202.875,517055,408202.875,173839.5,248929,173839.5,485198.25,710289,485198.25,402725.541666667,561281.833333333,402725.541666667
434,"902","03","01","9020301",Cinco Villas,Cinco Villas,Cinco Villas Núcleo,119,"119",72023,95024,72023,54496.5,57153,54496.5,68126.5,69185.5,68126.5,3946,4002,3946,72787.5,93434,72787.5,56584.3333333333,64664,56584.3333333333,6440.75,10466,6440.75,4455.25,6681,4455.25,5403.75,7922.5,5403.75,1200,2055,1200,6293.75,10206,6293.75,4866.20833333333,7542.16666666667,4866.20833333333,49022,49022,95024,95024,51840,51840,57153,57153,,,,,,,,,,,,,68232,68232,68203,68203,65903,65903,70168,70168,,,,,3890,3890,4114,3890,52141,52141,93434,93434,2440,2391,10466,10466,2209,2250,6681,6681,,,,,,,,,,,,,2699,2886,7548,7548,2875,3080,8297,8297,,,,,341,349,941,3169,2380,2383,10206,10206,8570737,11307856,8570737,6485083.5,6801207,6485083.5,8107053.5,8233074.5,8107053.5,469574,476238,469574,8661712.5,11118646,8661712.5,6733535.66666667,7695016,6733535.66666667,766449.25,1245454,766449.25,530174.75,795039,530174.75,643046.25,942777.5,643046.25,142800,244545,142800,748956.25,1214514,748956.25,579078.791666667,897517.833333333,579078.791666667
435,"084","01","01","0840101",Mejorada del Campo,Mejorada del Campo,Mejorada del Campo Núcleo,21438,"21438",10656,11155,10656,21648.25,22532.5,21648.25,22291,25893,22291,14969.25,18957.5,14969.25,21166.5,32347,21166.5,18146.2,22177,18146.2,1606,2124.5,1606,2860.5,4292,2860.5,2710.5,4244.5,2710.5,2118,3249.5,2118,2570.75,4163,2570.75,2373.15,3614.7,2373.15,10157,10157,10586,11724,20764,20764,23914,21151,,,,,,,,,,,,,18689,18689,25893,25893,,,,,,,,,10981,10981,16965,20950,9986,9986,32347,32347,1073,1102,2385,1864,1427,1431,4540,4044,,,,,,,,,,,,,1114,1239,4086,4403,,,,,,,,,951,1022,2641,3858,965,992,4223,4103,228443328,239140890,228443328,464095183.5,483051735,464095183.5,477874458,555094134,477874458,320910781.5,406410885,320910781.5,453767427,693454986,453767427,389018235.6,475430526,389018235.6,34429428,45545031,34429428,61323399,92011896,61323399,58107699,90993591,58107699,45405684,69662781,45405684,55111738.5,89246394,55111738.5,50875589.7,77491938.6,50875589.7
436,"051","01","01","0510101",Chapinería,Chapinería,Chapinería Núcleo,2456,"2456",40288.25,53407.5,40288.25,40718.0625,41523.875,40718.0625,,,,45582.75,69079.5,45582.75,35685,44186,35685,40632.6071428571,47538.3571428571,40632.6071428571,3735.5,5714.5,3735.5,3219.75,4528,3219.75,,,,4446.25,7573.5,4446.25,3852,5913.5,3852,3558.96428571429,5330.5,3558.96428571429,27169,27169,59349,47466,36498,36498,39270,35066,43116,43116,41657,37214,36095,36095,39155,33524,43940,43940,55301,51004,,,,,,,,,,,,,22086,22086,70008,68151,27184,27184,38378,49994,1790,1723,5942,5487,1916,1883,4756,4301,1964,1956,4038,3674,1851,1816,5014,3024,1972,1934,5950,5467,,,,,,,,,,,,,1339,1299,6995,8152,1822,1759,6017,5810,98947942,131168820,98947942,100003561.5,101982637,100003561.5,,,,111951234,169659252,111951234,87642360,108520816,87642360,99793683.1428571,116754205.142857,99793683.1428571,9174388,14034812,9174388,7907706,11120768,7907706,,,,10919990,18600516,10919990,9460512,14523556,9460512,8740816.28571429,13091708,8740816.28571429
